Adc_cl_dB_arr,fcu_arr,CMRR_dc_dB_arr
-2.686799999999999744e-01,4.367600000000000000e+05,1.563589999999999947e+01
-2.686839999999999784e-01,4.352690000000000000e+05,1.570889999999999986e+01
-2.684980000000000144e-01,4.373920000000000000e+05,1.567820000000000036e+01
-2.696259999999999768e-01,4.349080000000000000e+05,1.569280000000000008e+01
-2.684630000000000072e-01,4.380820000000000000e+05,1.571419999999999995e+01
-2.680179999999999785e-01,4.390070000000000000e+05,1.555930000000000035e+01
-2.682300000000000240e-01,4.374650000000000000e+05,1.568110000000000070e+01
-2.689849999999999741e-01,4.365410000000000000e+05,1.570040000000000013e+01
-2.671589999999999798e-01,4.358470000000000000e+05,1.567370000000000019e+01
-2.683010000000000117e-01,4.356940000000000000e+05,1.566009999999999991e+01
-2.692200000000000149e-01,4.406280000000000000e+05,1.558590000000000053e+01
-2.687089999999999756e-01,4.344180000000000000e+05,1.558290000000000042e+01
-2.688659999999999939e-01,4.365300000000000000e+05,1.568999999999999950e+01
-2.678969999999999962e-01,4.385160000000000000e+05,1.571049999999999969e+01
-2.689830000000000276e-01,4.377240000000000000e+05,1.557690000000000019e+01
-2.688650000000000206e-01,4.385460000000000000e+05,1.565370000000000061e+01
-2.682829999999999937e-01,4.368760000000000000e+05,1.570379999999999932e+01
-2.679509999999999947e-01,4.369320000000000000e+05,1.561469999999999914e+01
-2.686160000000000214e-01,4.347730000000000000e+05,1.569480000000000075e+01
-2.688130000000000241e-01,4.392880000000000000e+05,1.569219999999999970e+01
-2.680640000000000245e-01,4.375120000000000000e+05,1.571870000000000012e+01
-2.684389999999999832e-01,4.353870000000000000e+05,1.569020000000000081e+01
-2.677309999999999968e-01,4.375250000000000000e+05,1.567890000000000050e+01
-2.689549999999999996e-01,4.389630000000000000e+05,1.575750000000000028e+01
-2.685330000000000217e-01,4.375540000000000000e+05,1.564359999999999928e+01
-2.681399999999999895e-01,4.397080000000000000e+05,1.566280000000000072e+01
-2.684670000000000112e-01,4.365600000000000000e+05,1.562270000000000003e+01
-2.679500000000000215e-01,4.379500000000000000e+05,1.567270000000000074e+01
-2.689730000000000176e-01,4.342210000000000000e+05,1.562079999999999913e+01
-2.685440000000000049e-01,4.341240000000000000e+05,1.574760000000000026e+01
-2.684039999999999759e-01,4.370930000000000000e+05,1.566310000000000002e+01
-2.673900000000000166e-01,4.385960000000000000e+05,1.570350000000000001e+01
-2.694389999999999841e-01,4.365130000000000000e+05,1.558849999999999980e+01
-2.692060000000000008e-01,4.350100000000000000e+05,1.564889999999999937e+01
-2.680109999999999992e-01,4.384350000000000000e+05,1.567810000000000059e+01
-2.700500000000000123e-01,4.377020000000000000e+05,1.561819999999999986e+01
-2.690299999999999914e-01,4.377780000000000000e+05,1.566399999999999970e+01
-2.685540000000000149e-01,4.367920000000000000e+05,1.564310000000000045e+01
-2.692220000000000169e-01,4.394040000000000000e+05,1.558070000000000022e+01
-2.695899999999999963e-01,4.355770000000000000e+05,1.566259999999999941e+01
-2.685529999999999862e-01,4.370070000000000000e+05,1.564460000000000051e+01
-2.681780000000000275e-01,4.361830000000000000e+05,1.568900000000000006e+01
-2.685409999999999742e-01,4.367220000000000000e+05,1.565740000000000087e+01
-2.693209999999999771e-01,4.371000000000000000e+05,1.555180000000000007e+01
-2.682950000000000057e-01,4.384920000000000000e+05,1.573310000000000031e+01
-2.691160000000000219e-01,4.353390000000000000e+05,1.562860000000000049e+01
-2.682439999999999825e-01,4.324360000000000000e+05,1.553989999999999938e+01
-2.678789999999999782e-01,4.342340000000000000e+05,1.566610000000000014e+01
-2.684920000000000084e-01,4.391510000000000000e+05,1.566280000000000072e+01
-2.680000000000000160e-01,4.407080000000000000e+05,1.569420000000000037e+01
-2.681839999999999780e-01,4.349790000000000000e+05,1.565970000000000084e+01
-2.677459999999999840e-01,4.383330000000000000e+05,1.566890000000000072e+01
-2.687840000000000229e-01,4.361770000000000000e+05,1.564739999999999931e+01
-2.681780000000000275e-01,4.363970000000000000e+05,1.566970000000000063e+01
-2.685119999999999729e-01,4.373080000000000000e+05,1.570630000000000059e+01
-2.700330000000000230e-01,4.351440000000000000e+05,1.566169999999999973e+01
-2.686720000000000219e-01,4.403650000000000000e+05,1.559890000000000043e+01
-2.685449999999999782e-01,4.375360000000000000e+05,1.567849999999999966e+01
-2.692519999999999913e-01,4.412080000000000000e+05,1.577800000000000047e+01
-2.697570000000000245e-01,4.386570000000000000e+05,1.556489999999999974e+01
-2.686779999999999724e-01,4.354390000000000000e+05,1.557409999999999961e+01
-2.683969999999999967e-01,4.403040000000000000e+05,1.562190000000000012e+01
-2.683539999999999814e-01,4.373460000000000000e+05,1.568350000000000044e+01
-2.680379999999999985e-01,4.364760000000000000e+05,1.567379999999999995e+01
-2.673949999999999938e-01,4.354720000000000000e+05,1.567079999999999984e+01
-2.689380000000000104e-01,4.394340000000000000e+05,1.571410000000000018e+01
-2.672610000000000263e-01,4.357880000000000000e+05,1.568369999999999997e+01
-2.674079999999999790e-01,4.385800000000000000e+05,1.563059999999999938e+01
-2.690420000000000034e-01,4.334890000000000000e+05,1.571069999999999922e+01
-2.696399999999999908e-01,4.360880000000000000e+05,1.568999999999999950e+01
-2.682379999999999765e-01,4.411920000000000000e+05,1.565610000000000035e+01
-2.689480000000000204e-01,4.375820000000000000e+05,1.572269999999999968e+01
-2.695770000000000111e-01,4.392750000000000000e+05,1.563979999999999926e+01
-2.675089999999999968e-01,4.378050000000000000e+05,1.561459999999999937e+01
-2.678340000000000165e-01,4.362740000000000000e+05,1.566179999999999950e+01
-2.673800000000000066e-01,4.361680000000000000e+05,1.559479999999999933e+01
-2.687220000000000164e-01,4.407640000000000000e+05,1.571039999999999992e+01
-2.697109999999999785e-01,4.388280000000000000e+05,1.560210000000000008e+01
-2.687180000000000124e-01,4.339340000000000000e+05,1.575270000000000081e+01
-2.679869999999999752e-01,4.348670000000000000e+05,1.566660000000000075e+01
-2.693949999999999956e-01,4.418710000000000000e+05,1.564179999999999993e+01
-2.686799999999999744e-01,4.348060000000000000e+05,1.553529999999999944e+01
-2.683659999999999934e-01,4.371710000000000000e+05,1.564010000000000034e+01
-2.692530000000000201e-01,4.390050000000000000e+05,1.565959999999999930e+01
-2.688169999999999726e-01,4.354370000000000000e+05,1.565530000000000044e+01
-2.675580000000000180e-01,4.410700000000000000e+05,1.562880000000000003e+01
-2.695350000000000246e-01,4.336900000000000000e+05,1.565140000000000065e+01
-2.680159999999999765e-01,4.374040000000000000e+05,1.563579999999999970e+01
-2.683479999999999754e-01,4.381220000000000000e+05,1.567730000000000068e+01
-2.677209999999999868e-01,4.337520000000000000e+05,1.563870000000000005e+01
-2.680830000000000157e-01,4.366810000000000000e+05,1.566900000000000048e+01
-2.671769999999999978e-01,4.393050000000000000e+05,1.562920000000000087e+01
-2.686830000000000052e-01,4.373490000000000000e+05,1.575549999999999962e+01
-2.682189999999999852e-01,4.351990000000000000e+05,1.574440000000000062e+01
-2.688220000000000054e-01,4.404670000000000000e+05,1.556869999999999976e+01
-2.683639999999999914e-01,4.389840000000000000e+05,1.562369999999999948e+01
-2.682840000000000225e-01,4.349740000000000000e+05,1.563039999999999985e+01
-2.686109999999999887e-01,4.362530000000000000e+05,1.560710000000000086e+01
-2.674679999999999835e-01,4.320610000000000000e+05,1.563390000000000057e+01
-2.682229999999999892e-01,4.369530000000000000e+05,1.552360000000000007e+01
-2.676520000000000010e-01,4.384690000000000000e+05,1.563940000000000019e+01
-2.689710000000000156e-01,4.411670000000000000e+05,1.569250000000000078e+01
-2.684900000000000064e-01,4.324940000000000000e+05,1.569400000000000084e+01
-2.694059999999999788e-01,4.374360000000000000e+05,1.565789999999999971e+01
-2.689010000000000011e-01,4.361900000000000000e+05,1.559810000000000052e+01
-2.690049999999999941e-01,4.341220000000000000e+05,1.573380000000000045e+01
-2.689320000000000044e-01,4.379120000000000000e+05,1.563299999999999912e+01
-2.678119999999999945e-01,4.396020000000000000e+05,1.561660000000000004e+01
-2.689500000000000224e-01,4.360850000000000000e+05,1.559430000000000049e+01
-2.686279999999999779e-01,4.312510000000000000e+05,1.567670000000000030e+01
-2.689070000000000071e-01,4.369550000000000000e+05,1.565210000000000079e+01
-2.680560000000000165e-01,4.354210000000000000e+05,1.568880000000000052e+01
-2.685150000000000037e-01,4.377760000000000000e+05,1.560149999999999970e+01
-2.686580000000000079e-01,4.347300000000000000e+05,1.562240000000000073e+01
-2.681799999999999740e-01,4.380280000000000000e+05,1.565820000000000078e+01
-2.682419999999999805e-01,4.382300000000000000e+05,1.555949999999999989e+01
-2.690899999999999959e-01,4.386490000000000000e+05,1.568539999999999957e+01
-2.675350000000000228e-01,4.372160000000000000e+05,1.561170000000000080e+01
-2.693599999999999883e-01,4.380190000000000000e+05,1.564010000000000034e+01
-2.686359999999999859e-01,4.426160000000000000e+05,1.556600000000000072e+01
-2.682430000000000092e-01,4.356790000000000000e+05,1.566929999999999978e+01
-2.678490000000000038e-01,4.381480000000000000e+05,1.562720000000000020e+01
-2.696620000000000128e-01,4.370210000000000000e+05,1.565600000000000058e+01
-2.669739999999999891e-01,4.382100000000000000e+05,1.557380000000000031e+01
-2.674110000000000098e-01,4.393820000000000000e+05,1.572010000000000041e+01
-2.686609999999999832e-01,4.361780000000000000e+05,1.564349999999999952e+01
-2.686760000000000259e-01,4.371400000000000000e+05,1.563160000000000061e+01
-2.684799999999999964e-01,4.334850000000000000e+05,1.562170000000000059e+01
-2.692430000000000101e-01,4.374540000000000000e+05,1.565429999999999922e+01
-2.686310000000000087e-01,4.388440000000000000e+05,1.561739999999999995e+01
-2.678710000000000258e-01,4.355460000000000000e+05,1.569480000000000075e+01
-2.690770000000000106e-01,4.389880000000000000e+05,1.573879999999999946e+01
-2.681439999999999935e-01,4.370540000000000000e+05,1.575689999999999991e+01
-2.677289999999999948e-01,4.397880000000000000e+05,1.561989999999999945e+01
-2.684949999999999837e-01,4.377190000000000000e+05,1.567379999999999995e+01
-2.668550000000000089e-01,4.323320000000000000e+05,1.563310000000000066e+01
-2.690839999999999899e-01,4.385950000000000000e+05,1.568500000000000050e+01
-2.678670000000000218e-01,4.354460000000000000e+05,1.561299999999999955e+01
-2.682789999999999897e-01,4.420690000000000000e+05,1.557939999999999969e+01
-2.687620000000000009e-01,4.374120000000000000e+05,1.573830000000000062e+01
-2.690299999999999914e-01,4.368790000000000000e+05,1.559200000000000053e+01
-2.696459999999999968e-01,4.349190000000000000e+05,1.564269999999999960e+01
-2.676040000000000085e-01,4.350340000000000000e+05,1.560749999999999993e+01
-2.688840000000000119e-01,4.364050000000000000e+05,1.572480000000000011e+01
-2.691339999999999844e-01,4.329980000000000000e+05,1.574699999999999989e+01
-2.676629999999999843e-01,4.323090000000000000e+05,1.572320000000000029e+01
-2.686029999999999807e-01,4.365490000000000000e+05,1.572070000000000078e+01
-2.674469999999999903e-01,4.375360000000000000e+05,1.566559999999999953e+01
-2.681140000000000190e-01,4.422250000000000000e+05,1.564729999999999954e+01
-2.686740000000000239e-01,4.357780000000000000e+05,1.562650000000000006e+01
-2.688570000000000126e-01,4.357920000000000000e+05,1.567939999999999934e+01
-2.680739999999999790e-01,4.369710000000000000e+05,1.561609999999999943e+01
-2.682869999999999977e-01,4.379140000000000000e+05,1.568900000000000006e+01
-2.679170000000000162e-01,4.358300000000000000e+05,1.571589999999999954e+01
-2.679449999999999887e-01,4.399970000000000000e+05,1.566830000000000034e+01
-2.671439999999999926e-01,4.368480000000000000e+05,1.567590000000000039e+01
-2.676999999999999935e-01,4.362190000000000000e+05,1.555419999999999980e+01
-2.688189999999999746e-01,4.361920000000000000e+05,1.568299999999999983e+01
-2.688889999999999891e-01,4.341240000000000000e+05,1.570180000000000042e+01
-2.684909999999999797e-01,4.318200000000000000e+05,1.561550000000000082e+01
-2.686120000000000174e-01,4.323390000000000000e+05,1.559730000000000061e+01
-2.687979999999999814e-01,4.355240000000000000e+05,1.561539999999999928e+01
-2.680509999999999837e-01,4.382030000000000000e+05,1.561219999999999963e+01
-2.688389999999999946e-01,4.387490000000000000e+05,1.560019999999999918e+01
-2.691769999999999996e-01,4.347530000000000000e+05,1.568929999999999936e+01
-2.686239999999999739e-01,4.394300000000000000e+05,1.568599999999999994e+01
-2.689110000000000111e-01,4.358700000000000000e+05,1.570100000000000051e+01
-2.695629999999999971e-01,4.374280000000000000e+05,1.570040000000000013e+01
-2.688769999999999771e-01,4.379820000000000000e+05,1.557869999999999955e+01
-2.679719999999999880e-01,4.359550000000000000e+05,1.566750000000000043e+01
-2.676680000000000170e-01,4.345320000000000000e+05,1.567220000000000013e+01
-2.678429999999999978e-01,4.344760000000000000e+05,1.572380000000000067e+01
-2.687930000000000041e-01,4.399430000000000000e+05,1.568539999999999957e+01
-2.685429999999999762e-01,4.365090000000000000e+05,1.563749999999999929e+01
-2.680279999999999885e-01,4.377150000000000000e+05,1.560529999999999973e+01
-2.681640000000000135e-01,4.356610000000000000e+05,1.568459999999999965e+01
-2.688110000000000221e-01,4.367630000000000000e+05,1.567570000000000086e+01
-2.684549999999999992e-01,4.396950000000000000e+05,1.567469999999999963e+01
-2.676270000000000038e-01,4.412890000000000000e+05,1.562209999999999965e+01
-2.691149999999999931e-01,4.402120000000000000e+05,1.572049999999999947e+01
-2.688429999999999986e-01,4.352450000000000000e+05,1.559290000000000020e+01
-2.676379999999999870e-01,4.367210000000000000e+05,1.560319999999999929e+01
-2.684130000000000127e-01,4.403280000000000000e+05,1.569369999999999976e+01
-2.689070000000000071e-01,4.388810000000000000e+05,1.568210000000000015e+01
-2.682399999999999785e-01,4.314640000000000000e+05,1.573780000000000001e+01
-2.692979999999999818e-01,4.376110000000000000e+05,1.562780000000000058e+01
-2.689960000000000129e-01,4.312440000000000000e+05,1.555150000000000077e+01
-2.696319999999999828e-01,4.386370000000000000e+05,1.567660000000000053e+01
-2.682120000000000060e-01,4.363200000000000000e+05,1.565290000000000070e+01
-2.687999999999999834e-01,4.369410000000000000e+05,1.568280000000000030e+01
-2.676680000000000170e-01,4.376190000000000000e+05,1.563790000000000013e+01
-2.677410000000000068e-01,4.402480000000000000e+05,1.556649999999999956e+01
-2.678670000000000218e-01,4.381110000000000000e+05,1.564809999999999945e+01
-2.685080000000000244e-01,4.383030000000000000e+05,1.554800000000000004e+01
-2.690179999999999794e-01,4.349560000000000000e+05,1.565639999999999965e+01
-2.686830000000000052e-01,4.386070000000000000e+05,1.565329999999999977e+01
-2.695239999999999858e-01,4.332340000000000000e+05,1.568650000000000055e+01
-2.675199999999999800e-01,4.361600000000000000e+05,1.565879999999999939e+01
-2.682749999999999857e-01,4.386400000000000000e+05,1.567859999999999943e+01
-2.690810000000000146e-01,4.373090000000000000e+05,1.563889999999999958e+01
